state_abbr,state_name,total_employment,manufacturing,mining,agriculture,combined,combined_pct,mfg_pct,mining_pct,ag_pct
AK,Alaska,329164,11967,12353,1570,25890,7.9,3.6,3.8,0.5
AL,Alabama,2105674,285184,6038,11484,302706,14.4,13.5,0.3,0.5
AR,Arkansas,1295577,161999,3493,11784,177276,13.7,12.5,0.3,0.9
AZ,Arizona,3222450,193962,14700,22367,231029,7.2,6.0,0.5,0.7
CA,California,18183696,1247594,16506,411005,1675105,9.2,6.9,0.1,2.3
CO,Colorado,2897901,148909,21678,17558,188145,6.5,5.1,0.7,0.6
CT,Connecticut,1683378,155773,479,5326,161578,9.6,9.3,0.0,0.3
DE,Delaware,477336,26676,0,0,26676,5.6,5.6,0.0,0.0
FL,Florida,9836491,427497,4242,61322,493061,5.0,4.3,0.0,0.6
GA,Georgia,4862001,426771,5928,22946,455645,9.4,8.8,0.1,0.5
HI,Hawaii,639801,0,266,0,266,0.0,0.0,0.0,0.0
IA,Iowa,1562561,222310,2187,21037,245534,15.7,14.2,0.1,1.3
ID,Idaho,858504,74639,3053,24762,102454,11.9,8.7,0.4,2.9
IL,Illinois,6043357,578389,7052,19472,604913,10.0,9.6,0.1,0.3
IN,Indiana,3179542,523146,5190,16649,544985,17.1,16.5,0.2,0.5
KS,Kansas,1429358,174495,6171,13020,193686,13.6,12.2,0.4,0.9
KY,Kentucky,1988347,257659,7859,9073,274591,13.8,13.0,0.4,0.5
LA,Louisiana,1920359,140580,27515,7863,175958,9.2,7.3,1.4,0.4
MA,Massachusetts,3644805,231186,967,12781,244934,6.7,6.3,0.0,0.4
MD,Maryland,2768546,112981,1444,6147,120572,4.4,4.1,0.1,0.2
ME,Maine,648874,51820,262,8737,60819,9.4,8.0,0.0,1.3
MI,Michigan,4407319,600753,5524,35763,642040,14.6,13.6,0.1,0.8
MN,Minnesota,2932411,320271,5804,23398,349473,11.9,10.9,0.2,0.8
MO,Missouri,2898179,284855,4292,15271,304418,10.5,9.8,0.1,0.5
MS,Mississippi,1167716,141366,3207,10984,155557,13.3,12.1,0.3,0.9
MT,Montana,512774,21411,6044,6939,34394,6.7,4.2,1.2,1.4
NC,North Carolina,4901211,465130,3689,24725,493544,10.1,9.5,0.1,0.5
ND,North Dakota,428692,28225,18213,4937,51375,12.0,6.6,4.2,1.2
NE,Nebraska,1018759,104358,991,15676,121025,11.9,10.2,0.1,1.5
NH,New Hampshire,687990,68487,509,2187,71183,10.3,10.0,0.1,0.3
NJ,New Jersey,4252229,253006,1470,11926,266402,6.3,5.9,0.0,0.3
NM,New Mexico,869987,28669,23748,9133,61550,7.1,3.3,2.7,1.0
NV,Nevada,1551426,66391,14583,5264,86238,5.6,4.3,0.9,0.3
NY,New York,9705821,411179,4867,29408,445454,4.6,4.2,0.1,0.3
OH,Ohio,5520656,682242,8729,19579,710550,12.9,12.4,0.2,0.4
OK,Oklahoma,1692477,140777,30294,9814,180885,10.7,8.3,1.8,0.6
OR,Oregon,1994161,186012,1894,52920,240826,12.1,9.3,0.1,2.7
PA,Pennsylvania,6019836,563001,20860,27884,611745,10.2,9.4,0.3,0.5
RI,Rhode Island,495179,39858,0,0,39858,8.0,8.0,0.0,0.0
SC,South Carolina,2284611,263741,2265,9849,275855,12.1,11.5,0.1,0.4
SD,South Dakota,458558,45087,1189,7303,53579,11.7,9.8,0.3,1.6
TN,Tennessee,3270771,362430,3724,8377,374531,11.5,11.1,0.1,0.3
TX,Texas,13936364,973674,216987,60089,1250750,9.0,7.0,1.6,0.4
UT,Utah,1714013,152131,11278,6026,169435,9.9,8.9,0.7,0.4
VA,Virginia,4106139,242349,5639,12876,260864,6.4,5.9,0.1,0.3
VT,Vermont,309138,27434,629,3601,31664,10.2,8.9,0.2,1.2
WA,Washington,3594439,271058,2123,93859,367040,10.2,7.5,0.1,2.6
WI,Wisconsin,2944347,465626,3394,29194,498214,16.9,15.8,0.1,1.0
WV,West Virginia,695658,46027,20623,1738,68388,9.8,6.6,3.0,0.2
WY,Wyoming,282194,10414,16059,2783,29256,10.4,3.7,5.7,1.0
